rank,tabuleiro,posicao
316,"[1, 0, -1, 0, 1, 0, 0, 1, -1]",6
315,"[1, 0, -1, -1, 1, 0, 1, 1, -1]",6
315,"[-1, 0, -1, 1, 0, 0, 1, 1, 0]",2
315,"[1, 0, 0, 1, 1, 0, -1, 0, -1]",8
314,"[0, 1, 0, 1, -1, 0, 0, 1, -1]",6
314,"[1, 1, 0, 1, 0, -1, 0, 0, -1]",3
314,"[1, 1, 0, 0, -1, -1, 0, 0, 1]",4
313,"[1, 0, -1, 1, 1, 0, 0, 0, -1]",6
312,"[0, 0, 0, 0, -1, 1, -1, 1, 1]",3
312,"[0, 0, -1, 0, 0, 1, -1, 1, 1]",4
312,"[1, 0, 0, 0, 1, -1, 1, 0, -1]",3
311,"[1, 0, 0, 0, -1, 1, 0, -1, 1]",3
311,"[1, -1, 0, 0, -1, 0, 1, 0, 1]",8
311,"[1, 0, 0, 1, -1, 1, 0, -1, 0]",7
309,"[0, 1, 1, 1, -1, 0, 1, -1, -1]",1
309,"[0, 1, 0, 1, -1, 1, 1, -1, -1]",1
309,"[0, 0, 0, 0, -1, 1, 1, -1, 1]",2
309,"[0, 1, -1, 1, -1, -1, 0, 1, 1]",7
308,"[-1, 0, 1, 1, 0, 0, 0, 1, -1]",5
308,"[1, 1, 0, 0, 1, 0, -1, 0, -1]",8
308,"[-1, 0, -1, 1, -1, 1, 1, 1, 0]",9
305,"[1, 1, 0, 1, -1, -1, 0, 1, -1]",3
305,"[-1, 1, 0, 0, -1, 1, 1, 0, 0]",9
304,"[1, 1, 0, 0, -1, 0, 0, 1, -1]",3
303,"[0, 1, -1, 1, -1, 0, 0, 1, 0]",1
303,"[1, 0, 0, 1, 1, -1, 0, 0, -1]",3
302,"[0, 0, 1, 0, 1, 1, -1, 0, -1]",1
301,"[0, 0, -1, 1, 0, -1, 1, 1, 0]",9
301,"[-1, 1, 1, 0, 0, 0, 1, 0, -1]",5
299,"[-1, 1, 0, 1, -1, 1, 0, 0, 0]",3
298,"[1, 0, 1, 0, 0, 1, -1, 0, -1]",8
297,"[0, 0, 1, 1, -1, 0, 0, 1, -1]",2
297,"[-1, 0, 1, 0, 0, 1, 1, 0, -1]",5
297,"[0, 1, 1, 1, -1, -1, 1, 0, -1]",1
296,"[1, 0, 0, 0, -1, 1, 0, 1, -1]",7
295,"[0, -1, -1, 1, 1, 0, 1, 0, 0]",1
294,"[-1, 1, 1, 1, 0, 0, 0, 0, -1]",8
294,"[1, 0, 0, 0, -1, 1, 1, -1, 0]",2
293,"[-1, 0, -1, 1, 0, 1, 1, 0, 0]",2
289,"[0, 1, -1, 1, 0, -1, 0, 1, 0]",5
289,"[0, 1, 1, 0, 1, 0, 0, -1, -1]",7
287,"[0, 1, 0, 0, 1, 1, -1, 0, -1]",8
285,"[1, 1, -1, -1, 0, -1, 1, 0, 1]",5
285,"[0, 0, 0, 0, 1, 1, 0, 0, -1]",7
283,"[0, 1, 0, 1, 0, -1, 0, 1, -1]",5
280,"[0, -1, 0, 1, 1, -1, 1, 1, -1]",3
279,"[0, 1, 1, 0, 0, 1, 0, -1, -1]",7
278,"[0, 1, 1, -1, -1, 0, 1, 1, -1]",1
276,"[1, 1, -1, 0, -1, 0, 0, 0, 1]",7
274,"[0, 1, 1, 1, 0, 0, 0, -1, -1]",1
274,"[0, 1, 1, 0, 0, -1, 0, 0, 0]",4
270,"[1, 1, 0, -1, -1, 0, 1, 1, -1]",6
257,"[0, 0, -1, 1, 1, 0, 0, 0, 0]",2
255,"[0, 1, -1, 1, 0, 0, -1, 0, 1]",6
238,"[1, 0, 1, 0, -1, 1, 0, -1, 0]",2
237,"[0, 1, -1, 1, -1, 1, 0, 1, -1]",7
236,"[0, 0, 0, 1, -1, 0, -1, 1, 1]",6
231,"[-1, 1, 1, 1, 1, 0, 0, -1, -1]",7
227,"[0, -1, 1, 1, -1, 0, 1, 1, -1]",1
226,"[1, 0, -1, 1, -1, 0, 0, 1, 0]",6
224,"[1, 0, 0, 1, -1, 1, -1, 1, -1]",3
223,"[-1, 0, -1, 1, 1, -1, 1, 0, 1]",2
220,"[0, 0, 1, 1, -1, 1, -1, 1, -1]",1
219,"[-1, 1, 0, 1, -1, 0, -1, 1, 1]",3
218,"[-1, 0, -1, 1, 1, -1, 1, 1, 0]",9
218,"[1, 1, 0, -1, -1, 0, 1, -1, 1]",6
217,"[1, 1, -1, -1, 1, -1, 1, 0, 0]",9
216,"[1, 0, 0, 0, -1, 0, 1, 1, -1]",6
214,"[1, 1, -1, 1, 1, -1, -1, 0, 0]",9
214,"[1, 0, -1, 1, -1, 1, 0, 1, -1]",7
213,"[1, 0, -1, 0, 1, 0, 1, 0, -1]",4
212,"[1, 1, -1, 0, 0, -1, 0, 0, 1]",7
211,"[-1, 0, -1, 1, -1, 1, 1, 0, 1]",2
211,"[0, 0, -1, 1, -1, 1, 1, -1, 1]",2
211,"[1, 1, -1, -1, 0, 0, 1, 0, 0]",9
210,"[1, 1, -1, 1, 0, -1, -1, 1, 0]",9
210,"[1, 0, 1, -1, -1, 0, 1, -1, 1]",6
209,"[0, 0, 0, 1, 1, -1, 0, 1, -1]",2
205,"[1, 0, -1, -1, 1, 0, 1, 0, 0]",9
205,"[0, -1, 0, 0, 1, 0, 1, 1, -1]",3
201,"[-1, 1, -1, 1, 1, -1, 1, 0, 0]",9
200,"[-1, 0, -1, 1, 1, -1, 0, 1, 1]",2
199,"[1, 1, 0, 0, -1, 1, -1, 1, -1]",3
198,"[1, 0, 1, 1, 0, 0, -1, 0, -1]",2
198,"[1, 0, 1, 1, -1, 1, -1, 0, -1]",8
198,"[1, -1, 1, 1, -1, 1, 0, 0, -1]",8
197,"[1, -1, -1, 1, 1, 0, 0, 1, -1]",6
194,"[0, 0, 0, 1, -1, 1, 1, 0, -1]",8
194,"[0, 1, 0, 1, -1, -1, 1, 0, 0]",9
192,"[1, 1, -1, -1, 0, -1, 1, 1, 0]",9
192,"[1, 0, -1, -1, 0, 0, 1, 1, 0]",9
191,"[0, 0, 1, 1, -1, 1, 1, -1, -1]",2
190,"[0, 1, 1, 0, -1, 1, -1, 1, -1]",1
186,"[-1, 0, -1, 0, 0, 1, 1, 0, 1]",8
186,"[0, 1, 0, 0, -1, 0, 1, -1, 1]",4
185,"[-1, 1, 1, 1, 0, 0, 1, -1, -1]",5
184,"[0, 1, 1, 0, -1, 1, 0, 0, -1]",7
183,"[-1, 1, 1, 1, 0, 1, 0, -1, -1]",7
183,"[1, 1, -1, -1, 0, 0, 1, 1, -1]",6
175,"[0, 1, 1, 1, 1, -1, -1, 0, -1]",8
175,"[-1, 1, -1, 1, -1, 0, 0, 1, 1]",7
174,"[0, -1, 1, 1, -1, 1, 0, 1, -1]",1
173,"[0, 1, 1, 0, -1, 1, 1, -1, -1]",1
169,"[0, 0, 0, 0, 1, 0, 0, 1, -1]",2
167,"[0, 0, 1, 0, -1, 0, -1, 1, 1]",6
162,"[1, 1, -1, 0, 1, 1, 0, -1, -1]",7
161,"[1, 0, -1, 0, -1, 1, 0, 1, 0]",4
158,"[-1, 1, -1, 1, 0, 0, 1, 0, 0]",6
155,"[1, -1, 1, 0, -1, -1, 1, 1, 0]",4
154,"[0, 0, 0, 0, 1, -1, 1, 1, -1]",2
154,"[-1, 1, 0, 0, -1, 1, 0, 0, 1]",3
151,"[0, -1, -1, 1, 1, 0, 1, 1, -1]",1
150,"[1, -1, -1, 0, 1, 0, 1, 1, -1]",6
148,"[1, -1, 0, 1, 1, -1, 0, 1, -1]",3
146,"[-1, 0, -1, 1, 1, 0, 0, 0, 1]",6
139,"[-1, 1, 1, 0, -1, 0, -1, 1, 1]",4
137,"[1, -1, 0, 0, 1, -1, 1, 1, -1]",3
136,"[1, 1, 0, 0, -1, 1, 0, -1, 0]",3
133,"[0, 1, -1, 1, -1, 0, 1, 0, 0]",1
132,"[1, -1, -1, 1, 1, -1, 0, 1, 0]",9
132,"[0, 0, 1, -1, 1, 1, -1, 1, -1]",1
131,"[0, 1, 1, 0, -1, -1, 0, 1, 0]",9
130,"[-1, 0, 0, 1, -1, 0, 1, 1, 0]",3
129,"[1, 1, -1, 0, 1, 0, 1, -1, -1]",6
128,"[1, -1, 1, 0, -1, 0, 1, 0, 0]",6
127,"[0, 0, 1, 1, 1, -1, 0, 0, -1]",7
125,"[0, 1, -1, 0, -1, 0, 0, 1, 1]",4
125,"[1, 0, 0, 1, -1, -1, -1, 1, 1]",3
124,"[0, -1, -1, 1, 1, 0, 0, 0, 1]",6
122,"[-1, 1, 1, 0, -1, 1, 0, 0, 0]",8
122,"[1, 0, -1, 0, 0, -1, 0, 1, 1]",5
121,"[0, -1, -1, 1, 1, -1, 0, 1, 1]",1
120,"[-1, 0, 1, 1, -1, 0, 0, 1, 0]",2
118,"[-1, 1, -1, 1, 0, -1, 1, 1, 0]",9
118,"[1, 0, 1, 1, -1, 1, -1, -1, 0]",2
117,"[1, 1, -1, -1, -1, 1, 0, 1, 0]",7
117,"[1, -1, 0, 0, 1, 0, 0, 1, -1]",3
116,"[0, 1, 1, -1, -1, 0, 1, -1, 1]",6
115,"[-1, 1, 1, 0, -1, 1, 1, -1, 0]",9
114,"[-1, 1, 0, 1, 0, -1, 1, 1, -1]",5
114,"[1, 0, 0, 1, -1, -1, 0, 1, 0]",3
114,"[1, 0, -1, -1, 0, 1, -1, 1, 1]",5
113,"[-1, -1, 1, 1, -1, 1, 0, 1, 0]",9
113,"[1, 1, -1, 1, -1, -1, 0, 0, 1]",7
113,"[-1, 1, 1, -1, 0, 0, 1, 1, -1]",5
113,"[1, 1, -1, 0, -1, 0, 1, 1, -1]",6
112,"[0, 1, 0, 1, -1, -1, -1, 1, 1]",3
112,"[0, 1, 0, 1, -1, -1, 0, 0, 1]",3
112,"[1, 0, 0, 1, -1, 1, -1, -1, 1]",3
112,"[-1, 1, 0, 1, 1, -1, 1, 0, -1]",3
111,"[-1, 1, 1, 1, -1, 0, -1, 1, 0]",9
111,"[1, -1, 1, 0, -1, -1, 1, 0, 1]",8
111,"[0, 1, -1, 0, 0, 0, -1, 1, 1]",6
111,"[0, 1, 1, 0, 0, 0, 1, -1, -1]",5
111,"[0, 0, -1, 0, 1, 0, -1, 1, 1]",1
110,"[-1, -1, 1, 1, -1, 0, 1, 1, 0]",9
109,"[-1, 1, -1, 0, -1, 1, 0, 1, 1]",7
109,"[-1, 1, 1, 1, 0, -1, 1, 0, -1]",5
109,"[-1, 0, -1, 0, 1, 1, -1, 1, 1]",4
109,"[0, 0, -1, 1, 0, -1, 0, 1, 1]",5
109,"[1, 1, -1, -1, -1, 0, 0, 1, 1]",7
108,"[1, 1, -1, 1, 1, 0, 0, -1, -1]",7
108,"[0, -1, -1, 1, 1, -1, 1, 0, 1]",1
107,"[-1, 1, 1, -1, 0, -1, 1, 1, 0]",5
106,"[-1, 1, 0, 1, -1, 1, -1, 1, 0]",3
106,"[0, 1, -1, -1, 0, 1, -1, 1, 1]",1
105,"[1, 1, -1, 1, -1, 1, 0, -1, 0]",7
105,"[1, -1, 1, 1, 1, 0, -1, 0, -1]",8
105,"[0, 0, -1, 1, 1, -1, 0, 1, 0]",1
105,"[1, 0, 1, 0, -1, 0, 1, -1, 0]",4
105,"[-1, 0, -1, 1, -1, 1, 0, 1, 1]",7
105,"[1, 1, 0, 1, -1, 1, -1, -1, 0]",3
104,"[1, 0, 1, -1, -1, 1, 1, -1, 0]",2
104,"[1, -1, -1, 0, 1, -1, 1, 1, 0]",9
103,"[-1, 1, 0, 0, -1, 1, -1, 1, 1]",4
103,"[1, 0, 0, -1, -1, 1, 1, -1, 1]",2
102,"[-1, 1, 1, 1, -1, 1, 0, -1, 0]",9
102,"[-1, 0, 1, 0, 0, 0, 1, 1, -1]",4
101,"[1, 0, -1, 0, 1, -1, 0, 1, 0]",2
100,"[-1, 1, 1, -1, 0, -1, 0, 1, 1]",5
100,"[0, 1, 0, 1, -1, 0, 1, -1, 0]",9
99,"[1, 1, -1, 1, -1, 0, 0, 1, -1]",7
99,"[0, 1, -1, 1, -1, -1, 1, 1, 0]",9
98,"[-1, 0, 0, 1, -1, 0, 0, 1, 1]",3
97,"[1, 0, 0, 0, 1, -1, 0, 1, -1]",3
96,"[0, 1, -1, -1, -1, 1, 0, 1, 1]",7
95,"[1, 0, -1, -1, -1, 1, 0, 1, 1]",7
95,"[1, 1, -1, 0, -1, 1, 0, 1, -1]",7
95,"[-1, 0, -1, 0, 1, 1, 1, -1, 1]",2
93,"[0, 0, -1, -1, 1, 1, -1, 1, 1]",1
93,"[0, -1, -1, 0, 1, 1, 1, 1, -1]",1
93,"[1, -1, 1, 1, 0, 1, -1, 0, -1]",8
92,"[-1, 0, -1, 1, 0, 1, 1, -1, 1]",2
92,"[1, 0, 1, -1, -1, 0, 1, 1, -1]",6
92,"[0, 1, 1, 0, -1, -1, -1, 1, 1]",4
91,"[1, 0, 1, 1, 1, -1, -1, 0, -1]",8
90,"[-1, 0, 1, -1, 0, 1, 1, 1, -1]",5
89,"[1, 0, 1, 0, -1, 1, 1, -1, -1]",2
88,"[0, 1, 1, -1, 0, -1, 0, 1, 0]",1
80,"[0, 1, 1, 0, -1, 0, 1, -1, 0]",9
80,"[0, -1, 0, 1, 1, 0, 0, 1, -1]",3
76,"[0, 1, 1, 1, 1, -1, 0, -1, -1]",7
75,"[0, 1, 1, 1, 0, -1, 0, 0, -1]",5
75,"[1, 0, 1, 0, -1, -1, -1, 1, 1]",4
65,"[1, 1, -1, -1, -1, 0, 1, 0, 1]",6
58,"[0, 1, 1, -1, 1, -1, -1, 0, 1]",1
50,"[1, -1, -1, 0, -1, 1, 1, 0, 1]",8
50,"[0, -1, -1, 1, 1, 0, -1, 1, 1]",1
48,"[1, 1, -1, 0, -1, -1, 1, 0, 1]",4
46,"[-1, 1, -1, 0, 1, 1, -1, 0, 1]",4
38,"[1, -1, 1, -1, -1, 0, 1, 1, 0]",6
37,"[-1, 1, -1, -1, 1, 1, 0, 0, 1]",7
37,"[1, 0, 0, 1, 1, -1, -1, 1, -1]",3
28,"[1, 0, -1, 1, 1, 0, -1, 1, -1]",6
26,"[-1, 1, 1, 1, 1, 0, -1, 0, -1]",8
17,"[1, 1, -1, 0, 1, 1, -1, 0, -1]",8
14,"[-1, 1, 1, -1, 1, -1, 0, 0, 1]",7
13,"[1, 0, 1, -1, 1, 1, 0, -1, -1]",7
11,"[1, 0, 1, 1, -1, 1, 0, -1, -1]",7
9,"[0, -1, 0, 0, 1, 0, 1, 0, 0]",3
9,"[-1, -1, 0, 0, 1, 1, 1, 1, -1]",3
8,"[-1, 1, -1, 0, 0, 0, 0, 1, 1]",7
7,"[0, -1, -1, 0, 1, 1, 1, 0, 0]",1
7,"[0, 0, 0, 0, 1, 1, 0, -1, 0]",7
7,"[1, 1, 0, -1, -1, 1, 0, 0, 0]",3
7,"[0, 1, 0, 0, 1, 1, 0, -1, -1]",7
6,"[1, 1, 0, 0, 0, 0, 0, 0, -1]",3
6,"[1, 1, -1, -1, 0, 0, 0, 0, 1]",6
6,"[0, -1, -1, 0, 1, 0, 1, 1, 0]",1
6,"[1, 1, -1, 1, 0, 1, 0, -1, -1]",7
6,"[0, 0, 0, 0, 1, 1, -1, 1, -1]",4
6,"[1, -1, 1, 0, 1, 1, 0, -1, -1]",7
5,"[0, 0, -1, 0, 1, 0, 1, 0, 0]",2
5,"[1, 1, -1, -1, -1, 1, 0, 0, 1]",7
5,"[0, -1, 1, 1, -1, 0, 1, 0, 0]",8
5,"[1, 1, 0, -1, 1, 1, 0, -1, -1]",7
5,"[0, -1, 0, 0, 1, 1, 0, 1, -1]",3
4,"[1, 0, 1, 1, 0, 0, 0, -1, -1]",7
4,"[1, 1, -1, -1, 0, -1, 0, 1, 1]",5
4,"[0, 0, 1, -1, 1, 0, -1, 0, 1]",1
